order_id,customer_id,product_id,quantity,order_date,order_status,payment_status,delivery_status,delivery_eta,shipping_provider,tracking_number
O9020,C5147,P1133,2,2026-01-03,Processing,Paid,Processing,2026-01-01,DHL,TRK10020
O9021,C5143,P1036,4,2026-01-07,Delivered,Paid,Delivered,2026-01-08,BlueDart,TRK10021
O9022,C5093,P1040,5,2026-01-02,Processing,Paid,Processing,2026-01-04,FedEx,TRK10022
O9023,C5142,P1050,1,2026-01-05,Shipped,Paid,Shipped,2026-01-05,FedEx,TRK10023
O9024,C5005,P1035,4,2026-01-01,Processing,Paid,Processing,2026-01-06,FedEx,TRK10024
O9025,C5147,P1143,3,2026-01-03,Shipped,Paid,Shipped,2026-01-07,FedEx,TRK10025
O9026,C5138,P1134,2,2026-01-01,Shipped,Paid,Shipped,2026-01-06,BlueDart,TRK10026
O9027,C5036,P1015,1,2026-01-06,Shipped,Paid,Shipped,2026-01-07,DHL,TRK10027
O9028,C5118,P1030,1,2026-01-02,Processing,Paid,Processing,2026-01-03,DHL,TRK10028
O9029,C5053,P1107,2,2026-01-06,Shipped,Paid,Shipped,2026-01-07,FedEx,TRK10029
O9030,C5098,P1116,5,2026-01-05,Shipped,Paid,Shipped,2026-01-06,FedEx,TRK10030
O9031,C5015,P1091,3,2026-01-02,Processing,Paid,Processing,2026-01-05,BlueDart,TRK10031
O9032,C5019,P1072,3,2026-01-03,Shipped,Paid,Shipped,2026-01-08,BlueDart,TRK10032
O9033,C5102,P1097,3,2026-01-08,Processing,Paid,Processing,2026-01-04,DHL,TRK10033
O9034,C5113,P1056,4,2026-01-05,Delivered,Paid,Delivered,2026-01-03,BlueDart,TRK10034
O9035,C5074,P1041,5,2026-01-04,Delivered,Paid,Delivered,2026-01-06,BlueDart,TRK10035
O9036,C5070,P1069,4,2026-01-06,Delivered,Paid,Delivered,2026-01-08,FedEx,TRK10036
O9037,C5131,P1103,2,2026-01-01,Delivered,Paid,Delivered,2026-01-03,FedEx,TRK10037
O9038,C5125,P1076,3,2026-01-04,Delivered,Paid,Delivered,2026-01-03,FedEx,TRK10038
O9039,C5148,P1138,4,2026-01-06,Processing,Paid,Processing,2026-01-05,BlueDart,TRK10039
O9040,C5092,P1011,2,2026-01-01,Shipped,Paid,Shipped,2026-01-02,FedEx,TRK10040
O9041,C5130,P1033,2,2026-01-05,Delivered,Paid,Delivered,2026-01-08,DHL,TRK10041
O9042,C5018,P1002,4,2026-01-07,Shipped,Paid,Shipped,2026-01-07,FedEx,TRK10042
O9043,C5028,P1005,5,2026-01-07,Processing,Paid,Processing,2026-01-03,FedEx,TRK10043
O9044,C5027,P1081,1,2026-01-04,Shipped,Paid,Shipped,2026-01-07,BlueDart,TRK10044
O9045,C5124,P1103,1,2026-01-04,Processing,Paid,Processing,2026-01-02,BlueDart,TRK10045
O9046,C5057,P1030,2,2026-01-08,Shipped,Paid,Shipped,2026-01-01,DHL,TRK10046
O9047,C5078,P1042,5,2026-01-02,Delivered,Paid,Delivered,2026-01-07,FedEx,TRK10047
O9048,C5017,P1018,3,2026-01-01,Delivered,Paid,Delivered,2026-01-06,DHL,TRK10048
O9049,C5092,P1132,1,2026-01-07,Delivered,Paid,Delivered,2026-01-01,FedEx,TRK10049
O9050,C5087,P1120,1,2026-01-03,Shipped,Paid,Shipped,2026-01-07,BlueDart,TRK10050
O9051,C5030,P1148,5,2026-01-04,Delivered,Paid,Delivered,2026-01-05,BlueDart,TRK10051
O9052,C5039,P1018,4,2026-01-03,Shipped,Paid,Shipped,2026-01-03,BlueDart,TRK10052
O9053,C5053,P1023,4,2026-01-06,Shipped,Paid,Shipped,2026-01-01,FedEx,TRK10053
O9054,C5077,P1074,2,2026-01-03,Shipped,Paid,Shipped,2026-01-07,FedEx,TRK10054
O9055,C5122,P1029,1,2026-01-08,Delivered,Paid,Delivered,2026-01-04,DHL,TRK10055
O9056,C5141,P1127,4,2026-01-02,Processing,Paid,Processing,2026-01-06,DHL,TRK10056
O9057,C5003,P1104,5,2026-01-01,Shipped,Paid,Shipped,2026-01-04,FedEx,TRK10057
O9058,C5068,P1057,2,2026-01-03,Shipped,Paid,Shipped,2026-01-07,DHL,TRK10058
O9059,C5019,P1106,5,2026-01-02,Processing,Paid,Processing,2026-01-01,FedEx,TRK10059
O9060,C5012,P1114,4,2026-01-06,Delivered,Paid,Delivered,2026-01-06,BlueDart,TRK10060
O9061,C5005,P1067,2,2026-01-06,Shipped,Paid,Shipped,2026-01-05,FedEx,TRK10061
O9062,C5111,P1142,3,2026-01-07,Processing,Paid,Processing,2026-01-06,FedEx,TRK10062
O9063,C5099,P1142,5,2026-01-08,Shipped,Paid,Shipped,2026-01-08,FedEx,TRK10063
O9064,C5045,P1122,2,2026-01-07,Shipped,Paid,Shipped,2026-01-01,FedEx,TRK10064
O9065,C5040,P1086,4,2026-01-01,Processing,Paid,Processing,2026-01-05,DHL,TRK10065
O9066,C5078,P1010,5,2026-01-04,Processing,Paid,Processing,2026-01-04,FedEx,TRK10066
O9067,C5080,P1122,5,2026-01-05,Shipped,Paid,Shipped,2026-01-05,FedEx,TRK10067
O9068,C5146,P1103,4,2026-01-07,Delivered,Paid,Delivered,2026-01-05,BlueDart,TRK10068
O9069,C5123,P1048,2,2026-01-03,Processing,Paid,Processing,2026-01-04,BlueDart,TRK10069
O9070,C5042,P1109,4,2026-01-04,Processing,Paid,Processing,2026-01-01,BlueDart,TRK10070
O9071,C5070,P1053,3,2026-01-03,Delivered,Paid,Delivered,2026-01-01,DHL,TRK10071
O9072,C5064,P1062,4,2026-01-04,Processing,Paid,Processing,2026-01-01,DHL,TRK10072
O9073,C5138,P1072,4,2026-01-01,Processing,Paid,Processing,2026-01-03,BlueDart,TRK10073
O9074,C5037,P1133,1,2026-01-06,Shipped,Paid,Shipped,2026-01-03,DHL,TRK10074
O9075,C5119,P1118,5,2026-01-01,Delivered,Paid,Delivered,2026-01-05,DHL,TRK10075
O9076,C5017,P1069,5,2026-01-04,Delivered,Paid,Delivered,2026-01-07,DHL,TRK10076
O9077,C5149,P1018,3,2026-01-03,Shipped,Paid,Shipped,2026-01-08,DHL,TRK10077
O9078,C5127,P1102,5,2026-01-05,Shipped,Paid,Shipped,2026-01-04,BlueDart,TRK10078
O9079,C5089,P1104,4,2026-01-06,Shipped,Paid,Shipped,2026-01-07,DHL,TRK10079
O9080,C5054,P1055,1,2026-01-03,Shipped,Paid,Shipped,2026-01-01,BlueDart,TRK10080
O9081,C5023,P1149,4,2026-01-05,Processing,Paid,Processing,2026-01-05,FedEx,TRK10081
O9082,C5097,P1065,1,2026-01-01,Processing,Paid,Processing,2026-01-07,DHL,TRK10082
O9083,C5095,P1097,5,2026-01-03,Delivered,Paid,Delivered,2026-01-02,DHL,TRK10083
O9084,C5032,P1103,3,2026-01-01,Processing,Paid,Processing,2026-01-06,FedEx,TRK10084
O9085,C5007,P1047,4,2026-01-07,Delivered,Paid,Delivered,2026-01-03,BlueDart,TRK10085
O9086,C5079,P1135,4,2026-01-08,Delivered,Paid,Delivered,2026-01-01,FedEx,TRK10086
O9087,C5149,P1118,1,2026-01-07,Shipped,Paid,Shipped,2026-01-01,FedEx,TRK10087
O9088,C5009,P1126,5,2026-01-07,Shipped,Paid,Shipped,2026-01-02,BlueDart,TRK10088
O9089,C5134,P1138,1,2026-01-01,Delivered,Paid,Delivered,2026-01-08,FedEx,TRK10089
O9090,C5023,P1122,4,2026-01-01,Processing,Paid,Processing,2026-01-05,FedEx,TRK10090
O9091,C5065,P1141,1,2026-01-06,Shipped,Paid,Shipped,2026-01-01,FedEx,TRK10091
O9092,C5132,P1109,4,2026-01-01,Delivered,Paid,Delivered,2026-01-02,DHL,TRK10092
O9093,C5113,P1046,1,2026-01-05,Shipped,Paid,Shipped,2026-01-07,BlueDart,TRK10093
O9094,C5076,P1071,3,2026-01-01,Processing,Paid,Processing,2026-01-05,BlueDart,TRK10094
O9095,C5055,P1103,2,2026-01-01,Delivered,Paid,Delivered,2026-01-03,DHL,TRK10095
O9096,C5077,P1055,3,2026-01-08,Processing,Paid,Processing,2026-01-06,BlueDart,TRK10096
O9097,C5083,P1030,5,2026-01-04,Processing,Paid,Processing,2026-01-02,FedEx,TRK10097
O9098,C5043,P1031,2,2026-01-05,Shipped,Paid,Shipped,2026-01-04,BlueDart,TRK10098
O9099,C5115,P1002,5,2026-01-02,Processing,Paid,Processing,2026-01-08,BlueDart,TRK10099
O9100,C5145,P1108,3,2026-01-03,Delivered,Paid,Delivered,2026-01-03,BlueDart,TRK10100
O9101,C5072,P1100,5,2026-01-03,Delivered,Paid,Delivered,2026-01-03,FedEx,TRK10101
O9102,C5103,P1003,2,2026-01-08,Delivered,Paid,Delivered,2026-01-07,BlueDart,TRK10102
O9103,C5114,P1141,1,2026-01-03,Shipped,Paid,Shipped,2026-01-03,BlueDart,TRK10103
O9104,C5149,P1027,4,2026-01-08,Processing,Paid,Processing,2026-01-02,BlueDart,TRK10104
O9105,C5057,P1056,4,2026-01-01,Processing,Paid,Processing,2026-01-01,BlueDart,TRK10105
O9106,C5087,P1073,3,2026-01-05,Shipped,Paid,Shipped,2026-01-02,FedEx,TRK10106
O9107,C5079,P1049,5,2026-01-04,Processing,Paid,Processing,2026-01-01,FedEx,TRK10107
O9108,C5119,P1018,4,2026-01-07,Processing,Paid,Processing,2026-01-02,FedEx,TRK10108
O9109,C5092,P1126,2,2026-01-01,Delivered,Paid,Delivered,2026-01-04,FedEx,TRK10109
O9110,C5106,P1019,4,2026-01-06,Processing,Paid,Processing,2026-01-05,FedEx,TRK10110
O9111,C5120,P1100,4,2026-01-02,Processing,Paid,Processing,2026-01-03,DHL,TRK10111
O9112,C5138,P1146,3,2026-01-05,Delivered,Paid,Delivered,2026-01-08,DHL,TRK10112
O9113,C5147,P1149,2,2026-01-03,Delivered,Paid,Delivered,2026-01-06,BlueDart,TRK10113
O9114,C5129,P1029,1,2026-01-04,Shipped,Paid,Shipped,2026-01-07,DHL,TRK10114
O9115,C5093,P1124,2,2026-01-07,Shipped,Paid,Shipped,2026-01-07,BlueDart,TRK10115
O9116,C5021,P1142,4,2026-01-05,Delivered,Paid,Delivered,2026-01-02,FedEx,TRK10116
O9117,C5141,P1013,3,2026-01-01,Delivered,Paid,Delivered,2026-01-01,DHL,TRK10117
O9118,C5083,P1032,4,2026-01-08,Delivered,Paid,Delivered,2026-01-08,FedEx,TRK10118
O9119,C5139,P1057,4,2026-01-02,Processing,Paid,Processing,2026-01-04,DHL,TRK10119
O9120,C5019,P1149,2,2026-01-05,Processing,Paid,Processing,2026-01-03,FedEx,TRK10120
O9121,C5098,P1105,3,2026-01-04,Processing,Paid,Processing,2026-01-02,BlueDart,TRK10121
O9122,C5052,P1022,3,2026-01-06,Shipped,Paid,Shipped,2026-01-07,DHL,TRK10122
O9123,C5050,P1024,2,2026-01-07,Processing,Paid,Processing,2026-01-01,DHL,TRK10123
O9124,C5085,P1016,2,2026-01-03,Processing,Paid,Processing,2026-01-03,BlueDart,TRK10124
O9125,C5108,P1140,4,2026-01-07,Processing,Paid,Processing,2026-01-01,FedEx,TRK10125
O9126,C5021,P1123,4,2026-01-02,Shipped,Paid,Shipped,2026-01-08,FedEx,TRK10126
O9127,C5044,P1127,4,2026-01-05,Delivered,Paid,Delivered,2026-01-01,DHL,TRK10127
O9128,C5098,P1040,5,2026-01-04,Shipped,Paid,Shipped,2026-01-03,BlueDart,TRK10128
O9129,C5058,P1132,1,2026-01-05,Shipped,Paid,Shipped,2026-01-01,DHL,TRK10129
O9130,C5084,P1084,1,2026-01-02,Processing,Paid,Processing,2026-01-02,DHL,TRK10130
O9131,C5027,P1093,1,2026-01-06,Delivered,Paid,Delivered,2026-01-07,FedEx,TRK10131
O9132,C5056,P1000,1,2026-01-02,Shipped,Paid,Shipped,2026-01-08,BlueDart,TRK10132
O9133,C5049,P1041,5,2026-01-03,Processing,Paid,Processing,2026-01-03,FedEx,TRK10133
O9134,C5109,P1041,1,2026-01-01,Delivered,Paid,Delivered,2026-01-01,FedEx,TRK10134
O9135,C5073,P1033,1,2026-01-08,Processing,Paid,Processing,2026-01-02,DHL,TRK10135
O9136,C5033,P1056,1,2026-01-03,Processing,Paid,Processing,2026-01-02,BlueDart,TRK10136
O9137,C5113,P1086,3,2026-01-08,Processing,Paid,Processing,2026-01-02,DHL,TRK10137
O9138,C5013,P1114,3,2026-01-07,Processing,Paid,Processing,2026-01-02,DHL,TRK10138
O9139,C5147,P1119,5,2026-01-02,Delivered,Paid,Delivered,2026-01-08,BlueDart,TRK10139
O9140,C5084,P1096,3,2026-01-02,Delivered,Paid,Delivered,2026-01-01,DHL,TRK10140
O9141,C5129,P1117,5,2026-01-07,Delivered,Paid,Delivered,2026-01-07,BlueDart,TRK10141
O9142,C5090,P1026,4,2026-01-03,Processing,Paid,Processing,2026-01-03,DHL,TRK10142
O9143,C5135,P1058,4,2026-01-03,Processing,Paid,Processing,2026-01-05,FedEx,TRK10143
O9144,C5140,P1115,4,2026-01-01,Shipped,Paid,Shipped,2026-01-05,FedEx,TRK10144
O9145,C5107,P1088,1,2026-01-07,Shipped,Paid,Shipped,2026-01-05,DHL,TRK10145
O9146,C5046,P1102,1,2026-01-06,Shipped,Paid,Shipped,2026-01-03,DHL,TRK10146
O9147,C5122,P1141,2,2026-01-07,Shipped,Paid,Shipped,2026-01-01,DHL,TRK10147
O9148,C5028,P1089,5,2026-01-08,Processing,Paid,Processing,2026-01-04,FedEx,TRK10148
O9149,C5126,P1127,1,2026-01-07,Delivered,Paid,Delivered,2026-01-08,BlueDart,TRK10149
