product_id,name,category,brand,price,currency,rating,stock_status,description,warranty_months,returnable
P1051,Suggest,Beauty,Allen and Sons,7427,INR,3.1,In Stock,Game officer prove it.,0,No
P1052,Expert,Electronics,Carey-Thomas,9963,INR,4.8,In Stock,Identify base land lot single commercial.,24,Yes
P1053,Late,Electronics,"Everett, Fleming and Martinez",2022,INR,4.1,Out of Stock,Member loss throughout show.,12,Yes
P1054,Think,Home,Howard Group,1563,INR,4.9,Out of Stock,Final where recently audience bank six.,12,No
P1055,Far,Electronics,Harris Group,6826,INR,4.8,Out of Stock,Five popular five.,12,No
P1056,Also,Clothing,Henry-Taylor,5468,INR,4.8,In Stock,Owner do the beat page.,12,No
P1057,Value,Clothing,Singleton PLC,9943,INR,3.7,In Stock,Law popular physical method myself.,12,Yes
P1058,Book,Clothing,Torres-Price,7990,INR,4.2,In Stock,Dark seem traditional society war.,0,Yes
P1059,American,Beauty,Collins Inc,8890,INR,4.2,In Stock,Black arrive mother into how expert staff.,24,No
P1060,Sort,Beauty,Hancock-Chambers,3432,INR,3.1,In Stock,Ago interview arm civil situation Democrat trade.,0,No
P1061,Woman,Electronics,Miller-Huffman,7033,INR,3.4,Out of Stock,Group interest Republican sell worry.,24,Yes
P1062,Something,Beauty,Crawford Inc,5672,INR,4.9,In Stock,Share age age owner though.,0,Yes
P1063,Worry,Electronics,Conner-Molina,6102,INR,4.2,Out of Stock,Music value down meet pressure action with.,12,Yes
P1064,Professor,Beauty,Gonzalez Ltd,5176,INR,4.0,Out of Stock,Card minute simple begin sing property walk federal.,24,Yes
P1065,So,Beauty,Sloan and Sons,5014,INR,4.8,Out of Stock,Behind gun give effect citizen agency.,0,Yes
P1066,Model,Home,Scott Group,3853,INR,3.8,In Stock,Capital east cut painting.,24,No
P1067,Full,Home,"Jackson, Johnston and Baker",3667,INR,3.9,Out of Stock,First best employee above box interest.,24,Yes
P1068,Back,Beauty,Fitzgerald-Miller,2500,INR,3.3,Out of Stock,So ready ready common campaign.,24,Yes
P1069,Military,Electronics,Schmidt-Brown,1178,INR,3.4,Out of Stock,Senior everybody lead.,12,Yes
P1070,Nation,Home,Brown Ltd,8184,INR,5.0,Out of Stock,Sister us resource think air box.,6,No
P1071,Sea,Home,Rodgers-Young,2042,INR,3.3,In Stock,Focus specific compare newspaper.,12,No
P1072,Four,Clothing,"Rodriguez, Baxter and Skinner",6617,INR,3.2,In Stock,Pattern improve age carry.,0,Yes
P1073,Include,Home,Arnold-Todd,4425,INR,4.5,In Stock,Example represent stay hand your.,12,Yes
P1074,Position,Home,Adams Ltd,9471,INR,4.8,In Stock,Bank strategy set type.,6,No
P1075,Tree,Home,Zimmerman Inc,8546,INR,4.0,Out of Stock,Hair none loss own actually college financial.,6,No
P1076,Ok,Clothing,Velasquez LLC,5520,INR,3.5,Out of Stock,Girl mother sell.,12,No
P1077,Next,Clothing,"Ferguson, Knox and Jensen",1013,INR,4.0,Out of Stock,Any moment benefit stuff student.,6,No
P1078,Soon,Beauty,Rogers-Lane,5165,INR,4.5,In Stock,Air try southern rest expert.,24,Yes
P1079,Get,Beauty,Lopez Inc,4767,INR,3.8,Out of Stock,Leave hospital teacher theory.,6,No
P1080,Big,Electronics,"Nelson, Thornton and Branch",2857,INR,3.9,Out of Stock,Them staff store relationship push clear anything.,6,Yes
P1081,Husband,Beauty,May Group,5312,INR,3.8,In Stock,Generation up sure most his second.,0,No
P1082,Remember,Beauty,Sanders-Richards,1098,INR,4.3,In Stock,Yes current close.,12,No
P1083,Teacher,Clothing,"Schneider, Jones and Moore",1453,INR,3.8,Out of Stock,Republican business similar hard total.,24,No
P1084,Say,Electronics,"Miller, Brady and Gibbs",4443,INR,4.6,Out of Stock,Write rate whatever view people offer series floor.,0,No
P1085,Sing,Home,"Greer, Cain and Yang",4591,INR,4.2,In Stock,Address necessary country buy feel skill.,0,Yes
P1086,Item,Home,"Jackson, Smith and Stewart",9468,INR,3.3,Out of Stock,Water energy through focus.,0,Yes
P1087,Recognize,Electronics,Taylor-Hill,9164,INR,4.9,Out of Stock,Response many would.,12,No
P1088,Recognize,Beauty,"Allen, Hubbard and Allen",6509,INR,3.0,In Stock,Politics note themselves although young follow.,12,Yes
P1089,Budget,Beauty,Davis-Lloyd,5464,INR,4.6,Out of Stock,Oil on note produce walk.,12,Yes
P1090,Admit,Electronics,Woods LLC,3774,INR,3.0,Out of Stock,Until behavior as industry future weight off.,0,No
P1091,Involve,Electronics,Zimmerman-Scott,6269,INR,4.3,Out of Stock,Almost year Congress my campaign state case.,6,Yes
P1092,Central,Home,"Thompson, Nguyen and Perry",259,INR,4.9,Out of Stock,New citizen PM someone.,12,No
P1093,Perform,Electronics,Mcdaniel-Willis,9384,INR,4.7,In Stock,Official recognize treatment among.,6,Yes
P1094,Political,Clothing,"Mcdonald, Freeman and Rice",6623,INR,4.0,Out of Stock,Off wind image offer on.,6,No
P1095,Eye,Beauty,"Hall, Williams and Rodriguez",7591,INR,3.6,Out of Stock,Accept actually firm heart event certainly nation stop.,24,No
P1096,Goal,Home,Long-Cobb,1568,INR,5.0,In Stock,He training medical federal consumer young.,6,No
P1097,Sit,Clothing,Gordon-Powers,1866,INR,3.7,In Stock,Economic nor drop.,12,No
P1098,Cultural,Clothing,Schneider Group,6314,INR,3.8,In Stock,Up evening color quality thought.,12,Yes
P1099,Mind,Home,"Ryan, Bird and Munoz",3803,INR,4.5,In Stock,Health contain contain exist.,0,Yes
P1100,Run,Home,Schwartz-Diaz,1450,INR,4.3,Out of Stock,Meeting full ball entire.,0,Yes
P1101,Might,Clothing,"Kerr, Cooper and Smith",3369,INR,4.9,In Stock,Return find hospital on fine.,12,Yes
P1102,Radio,Home,Brown Ltd,1211,INR,3.9,In Stock,Order development travel ground site tell.,24,No
P1103,Democrat,Home,Donaldson LLC,2809,INR,4.4,In Stock,Just official age out direction suddenly.,24,Yes
P1104,Analysis,Clothing,"Parsons, Walker and Nicholson",8391,INR,4.0,In Stock,Send image class five.,6,Yes
P1105,South,Home,"Parker, Carter and Jones",8961,INR,4.9,In Stock,Follow opportunity education offer.,0,No
P1106,Social,Electronics,"Lee, Nichols and Lawrence",9170,INR,4.5,Out of Stock,Cover morning goal available few.,6,Yes
P1107,Painting,Beauty,Valenzuela PLC,3959,INR,4.7,Out of Stock,Most history road.,24,Yes
P1108,West,Clothing,Morrison-Wang,859,INR,3.1,Out of Stock,See marriage right six southern along.,12,No
P1109,Race,Clothing,"Lee, Nichols and Church",3794,INR,4.3,In Stock,Factor by system such hope reflect.,0,Yes
P1110,Glass,Beauty,"Dunn, Jacobson and Webb",4757,INR,3.8,In Stock,Individual candidate question success set.,24,Yes
P1111,Five,Electronics,Perkins Inc,9375,INR,3.8,Out of Stock,Despite clearly player employee far land analysis final.,12,Yes
P1112,Project,Home,Jones-Lee,2011,INR,3.5,Out of Stock,Image all stage land tonight reflect.,0,No
P1113,Nation,Clothing,Moore-Freeman,6667,INR,4.1,Out of Stock,Guess likely soldier resource report.,24,Yes
P1114,Sit,Beauty,Williams LLC,1851,INR,4.8,Out of Stock,Why fall least edge nice military like.,0,No
P1115,Western,Clothing,"Friedman, Moreno and English",9994,INR,4.3,In Stock,Now avoid manager wind.,24,Yes
P1116,Can,Clothing,Sanders Ltd,6508,INR,3.0,In Stock,Yet life moment.,24,Yes
P1117,Professional,Home,"Brown, Smith and Simpson",6882,INR,3.3,Out of Stock,Difficult important teach fund approach.,0,No
P1118,Tell,Electronics,Hodge LLC,3238,INR,4.3,In Stock,Discussion assume reach receive just agreement little.,12,No
P1119,Until,Beauty,Brown Ltd,8367,INR,4.6,In Stock,Director parent pass instead.,0,No
P1120,Consumer,Clothing,Mason-Brown,9408,INR,3.6,In Stock,Trial up suggest two situation mouth decision.,0,Yes
P1121,Sometimes,Clothing,"Jordan, Lee and Wright",6663,INR,4.6,Out of Stock,Unit a scene career feeling energy.,12,No
P1122,Machine,Electronics,"Morris, Yang and Price",4189,INR,4.1,Out of Stock,Science wrong you suddenly action old physical.,0,Yes
P1123,City,Clothing,Ortiz-Cannon,8289,INR,3.5,In Stock,Then produce back civil area own.,24,Yes
P1124,Any,Home,Bowman-Benson,2021,INR,3.1,In Stock,Stay area trouble cold everyone.,24,No
P1125,Clear,Electronics,Thomas-Wheeler,7463,INR,4.9,In Stock,Mention particular officer small face key old throw.,6,Yes
P1126,Information,Clothing,Wilkins-Jones,5332,INR,3.8,In Stock,Town community quality close.,6,Yes
P1127,Indeed,Clothing,"Beard, Hanna and Bernard",9704,INR,4.2,Out of Stock,Wonder friend executive road.,0,No
P1128,Reach,Clothing,Garcia-Caldwell,7519,INR,4.2,Out of Stock,Week energy daughter remain.,6,No
P1129,True,Clothing,Sandoval PLC,281,INR,4.9,Out of Stock,Back either new three we seat.,6,Yes
P1130,Address,Home,"Gill, Rocha and Sullivan",1286,INR,4.0,In Stock,Each from put outside education.,0,No
P1131,Admit,Home,Manning-Grimes,8820,INR,4.1,In Stock,Message other my both cold meet.,6,No
P1132,Summer,Beauty,Duran-Ferguson,2080,INR,3.6,Out of Stock,Sound none company international.,12,Yes
P1133,Professional,Clothing,Hicks LLC,5789,INR,3.4,Out of Stock,Show this window surface medical alone national west.,24,No
P1134,Language,Beauty,Briggs-Gomez,4688,INR,3.6,In Stock,Capital political value dog.,6,No
P1135,Even,Electronics,Campbell-Jacobs,1344,INR,3.1,Out of Stock,End shake trade impact keep wife hour would.,24,Yes
P1136,Affect,Electronics,Miller-Mendoza,9723,INR,4.8,In Stock,Enter unit class course.,0,Yes
P1137,Policy,Home,Carlson-Ritter,1384,INR,3.7,In Stock,Power nation magazine activity no college grow.,12,Yes
P1138,Very,Clothing,Carr-Hayes,7129,INR,3.1,In Stock,Leave sit score.,12,Yes
P1139,Music,Home,Esparza-Smith,3613,INR,4.7,In Stock,President the stage ten everything outside.,12,No
P1140,Special,Home,Phillips-Young,2210,INR,4.2,In Stock,Page former watch subject its guess.,0,No
P1141,Reality,Electronics,Mcclure-Poole,5429,INR,4.9,Out of Stock,Section yes Republican business read teach run.,0,No
P1142,Force,Home,Cunningham-Riddle,4584,INR,4.4,In Stock,Ok east treatment side usually history.,0,No
P1143,Something,Beauty,Charles-Rosales,8408,INR,4.4,In Stock,Past let around camera inside fine.,6,No
P1144,Low,Home,Young and Sons,5485,INR,4.7,In Stock,Cause behavior safe someone foot sure campaign.,24,Yes
P1145,Yes,Clothing,"Smith, Rios and Vasquez",4316,INR,4.4,Out of Stock,Itself out reason.,0,No
P1146,Practice,Beauty,"Bryant, Farley and Sparks",5961,INR,4.5,In Stock,Rich born build single reach would.,24,Yes
P1147,During,Electronics,"George, Brooks and Patterson",7813,INR,4.6,In Stock,Science last around town.,6,No
P1148,Drug,Electronics,Gonzales PLC,1904,INR,3.1,Out of Stock,Run involve really entire per rest edge.,0,No
P1149,Recently,Beauty,Thompson Ltd,461,INR,3.1,In Stock,Dinner expect nothing value investment day.,24,Yes
